Текст фразы,Эмоция
Не можешь же ты быть таким безответственным?,Злость
"Я не могу поверить, что ты опять забыл о нашей встрече, это уже второй раз, и мне это совсем не нравится.",Злость
"Почему ты не сказал мне сразу, что у нас проблемы? Я ненавижу, когда люди прячут правду.",Злость
"Меня просто бесит, когда кто-то оставляет свои вещи разбросанными по всей квартире, это делает жизнь невыносимой.",Злость
"Сколько можно напоминать о простых вещах? Я устала постоянно быть единственным человеком, который все организует.",Злость
"Это совершенно неуважительно, когда ты не отвечаешь на сообщения, а потом приходишь и спрашиваешь, что случилось.",Злость
"Я не понимаю, почему ты не можешь хотя бы раз сделать что-то так, как я просила, это очень раздражает.",Злость
"Каждый раз, когда я пытаюсь что-то обсудить, ты просто отмахиваешься — это не серьезно и меня бесит.",Злость
"Почему ты не слушаешь, что я говорю? Я чувствую, что ты просто не заботишься о моих чувствах.",Злость
"Мне надоело постоянно оправдываться за свои действия, когда ты сам допускаешь ошибки и не хочешь признавать это.",Злость
"Я в ярости, что ты опять не выполнил свои обещания, и это начинает выходить за рамки разумного.",Злость
"Я не знаю, как еще объяснить, что такой подход к работе абсолютно недопустим. Надоел постоянный стресс из-за твоих ошибок.",Злость
Неужели так сложно просто выполнить свои обязанности? Я устал от постоянных напоминаний и оправданий.,Злость
"Каждый раз, когда я прошу о помощи, ты просто игнорируешь меня, и это становится просто невыносимым.",Злость
"Мне кажется, ты не принимаешь в расчет мнение команды, и это очень раздражает. Я надеюсь, ты это осознаешь.",Злость
"Я в полном недоумении от того, как ты отнесся к этому проекту. Нельзя было так халатно подходить к делу.",Злость
Неужели так трудно просто выполнить свои обязанности? У меня больше нет сил терпеть это постоянное безобразие.,Злость
"Я не могу поверить, что снова пришлось переделывать проект, потому что кто-то не выполнил свою часть работы.",Злость
"Как же меня бесит, когда люди не слушают и делают все по-своему!",Злость
Достало! Я уже не могу терпеть эту несправедливость!,Злость
"Я в ярости от того, что ты опять забыл о моей просьбе!",Злость
"Что за глупость! Неужели ты не видишь, что это неправильно?",Злость
"Мое терпение лопнуло, я больше не буду мириться с этим!",Злость
Я просто в бешенстве от твоего безответственного поведения.,Злость
Ты меня довел! Я больше не буду терпеть твои выходки!,Злость
"Как же меня бесит этот хаос, я хочу все разрушить!",Злость
"Я не хочу больше слышать, как ты объясняешь свои ошибки. Нужно начинать действовать, а не просто говорить.",Злость
"Почему ты не можешь просто выполнить свою часть? У нас есть четкие сроки, и я не понимаю, зачем затягивать. Если это продолжится, придется серьезно об этом поговорить.",Злость
"Каждый раз, когда я слышу отговорки, меня начинает бесить. Никаких результатов, только постоянные обещания. ",Злость
"Мне надоело, что все время меня заставляют исправлять ситуацию. Я не обязан это делать. Почему никто не берет на себя ответственность?",Злость
"Неужели так сложно выполнить домашнее задание самостоятельно? Я все время жду от тебя результатов, а ты продолжаешь откладывать все на последний момент!",Злость
"Не понимаю, зачем ты вообще поступил на эту программу, если тебе ничего не интересно!",Злость
"Ты вообще слушаешь? Я же объясняю, как это сделать!",Злость
У меня уже сил нет спорить с тобой! Сделай как я сказал!,Злость
"Сколько можно! Тебе же сказали, что нужно сдавать работы вовремя!",Злость
"Вы обещали перезвонить мне в течение часа, а прошло уже два! Где вы были все это время?",Злость
"Я уже третий раз пытаюсь снять деньги, а ваш банкомат снова не работает! Что за безобразие?",Злость
"Неужели вы не можете сделать так, чтобы ваши системы работали как надо?",Злость
Почему у вас такая некомпетентная служба поддержки? Никто не может мне помочь!,Злость
"Вы уверены, что правильно посчитали проценты по моему кредиту? Мне кажется, вы меня обманываете!",Злость
"Зачем ты сказал преподавателю, что я не делаю свою часть? Это не так, и это просто недопустимо! Нам нужно решать проблемы, а не раздувать их.",Злость
"Ты не представляешь, как меня это бесит. Мы должны работать как команда, но из-за твоего поведения всё идет не так.",Злость
"Это что за хамство?! Я просто хотела вернуть бракованный товар, а вы мне грубите! ",Злость
"Как вы смеете меня обвинять? Я ничего не брал, я даже не касался этого товара!",Злость
"Почему эта вещь стоит дороже, чем на сайте? Вы что, меня дурите?",Злость
Вы мне испортили настроение! Я просто хотел купить подарок.,Злость
"Опять очередь до конца зала, невозможно нормально купить продукты. Так каждый раз происходит. Сколько можно ждать?",Злость
"Скидка должна была действовать до конца недели, а на кассе её нет. Это же неправильно! ",Злость
"Вы опять не привезли товар, который обещали? Мне сказали, что сегодня точно будет.",Злость
Почему цена на товар снова выросла? Каждый раз всё дороже и дороже.,Злость
"Эти фрукты опять совсем не свежие, как так можно? Уже третий раз такое вижу.",Злость
Сколько можно терпеть эту медленную очередь? Это просто возмутительно!,Злость
Опять неправильно пробили цену на кассе! Уже надоело такое отношение!,Злость
Почему постоянно нет нужных продуктов? Вы вообще следите за ассортиментом?,Злость
Сколько можно повышать цены? Это уже совсем за границами разумного!,Злость
Ваши кассы опять не работают нормально! Почему тут постоянно такие проблемы?,Злость
Опять всё сделали неправильно! Сколько раз можно повторять одно и то же?,Злость
Как можно так безответственно относиться к делу? Это уже перебор!,Злость
Почему никто не сообщает об изменениях? Так работать невозможно!,Злость
Опять забыли про наши договорённости? Это уже просто издевательство!,Злость
Ты обещал всё сделать вовремя! А теперь опять оправдания! Почему всегда возникают такие проблемы? Это уже выходит за все рамки!,Злость
"Я не могу поверить, что опять что-то не так! Это же просто безобразие! Неужели нельзя было всё проверить? Сколько можно терпеть это отношение?",Злость
Сколько можно повторять одно и то же! Это уже не смешно! Я устал объяснять одно и то же снова!,Злость
"Как он мог так поступить? Это возмутительно! Всё было на нём, а он просто забыл! Сколько можно это терпеть?",Злость
Опять его работа сделана кое-как! Это же просто халатность! Никто не собирается это терпеть!,Злость
Почему он никогда не делает всё вовремя? Я больше не могу это игнорировать! Его беспечность просто выводит из себя! Когда же это закончится?,Злость
"Она опять опоздала! Как же меня бесит, что она не уважает мое время! Я не знаю, как ей достучаться, она просто не хочет меня слышать!",Злость
"Он не ценит ничего, ничего не делает, ничего не меняется! Я так зла на него, что готова взорваться!",Злость
Он постоянно врет! Я больше не верю ни единому его слову.,Злость
Как он мог так поступить? Я просто в шоке! Он же был мне другом! Я больше не могу ему доверять!,Злость
"Неужели он не понимает, что делает?! Он просто не уважает ничьих чувств!",Злость
"Я больше не буду молчать! Я покажу ей, что за такое бывает!",Злость
"Я не понимаю, почему это так сложно. Я объяснял свою ситуацию несколько раз, но ничего не меняется. Почему вам требуется так много времени на это?",Злость
"Я не могу поверить, что ваша служба поддержки так неэффективна. Каждый раз, когда я звоню, мне говорят одно и то же. Почему вы не можете решить вопрос сразу?",Злость
"Я потратил уже час на ожидание, а всё, что вы можете предложить, это перезвонить позже? Это просто ужасно! Я ожидал гораздо более качественного обслуживания.",Злость
"Я теряю терпение, и ваше бездействие только усугубляет ситуацию. Что вам нужно, чтобы, наконец, помочь мне?",Злость
Я уже второй час пытаюсь решить эту проблему! Что же вы предлагаете мне делать?! Я просто в шоке от вашей некомпетентности!,Злость
"Это уже третий раз, как я звоню! И каждый раз мне говорят одно и то же! Что за безобразие! ",Злость
"Как вы можете говорить, что ничего не знаете? Это же ваш продукт!",Злость
"Вас совершенно не волнует, что происходит! Это просто безобразие!",Злость
Я не буду больше тратить время на ваши пустые обещания! Я требую немедленных действий! Иначе я буду вынужден обратиться в другую компанию!,Злость
"Я вам уже все объяснил, но вы, видимо, не слушаете! Что вам еще нужно, чтобы вы поняли? Вам нужна схема? Я вам все нарисую, только скажите!",Злость
"Вы не можете просто так бросать трубку! У вас проблема, а вы начинаете истерить! Я не понимаю, чего вы от меня хотите! Я пытаюсь вам помочь!",Злость
"Я не могу вам помочь! Я не волшебник! Я не могу просто так сделать то, что вы хотите! Попробуйте разобраться сами! Я уже все сказал!",Злость
Вы меня не слушаете! Я повторяю в который раз! Вам нужно сделать следующее... Я уже устал повторять! ,Злость
"Вас не волнует, что происходит? Вы просто хотите, чтобы я сделал за вас всю работу? Я не могу так! Я не могу творить чудеса! Попробуйте разобраться сами!",Злость
"Не могу поверить, что она выиграла этот приз! Как же ей повезло! Неужели у меня никогда не будет такой удачи?!",Зависть
"Смотри, какая у нее классная машина! Я бы тоже хотел себе такую! Когда же у меня будут такие деньги?",Зависть
"Как же здорово, что они поехали на море! Я бы тоже так хотел! Когда же я смогу себе это позволить?",Зависть
Неужели она купила себе новую квартиру?! И так быстро! А я все еще живу в съемной!,Зависть
Он получил повышение?! А я все еще сижу на своей должности! Как же это несправедливо!,Зависть
Как же она отлично выглядит! У нее такая идеальная фигура! Когда же у меня будет такая же?,Зависть
Они купили себе новый дом! И в таком классном месте! А я все еще живу в этой маленькой квартирке!,Зависть
Он получил такую шикарную работу! С такой высокой зарплатой! Когда же у меня будет такая же?,Зависть
Она такая стильная! У нее такой прекрасный вкус! Как же я хочу быть такой же модной!,Зависть
Неужели у нее так много денег?! Как же я завидую! Когда же у меня будут такие средства?,Зависть
"Как же тебе повезло! Ты всегда получаешь все, что хочешь! Неужели у меня никогда не будет такой удачи?",Зависть
Ты просто невероятно талантлив! Как же легко тебе дается все! У меня никогда не будет такого таланта!,Зависть
"Ты такой уверенный в себе! Ты всегда знаешь, чего хочешь! Я бы хотел быть таким же!",Зависть
"Ты не представляешь, как я завидую! Как же ты здорово выглядишь! Ты просто светишься!",Зависть
Как тебе удалось получить такую скидку?! У меня такого никогда не бывает! Я всегда переплачиваю!,Зависть
Неужели у тебя уже есть билеты?! Как же я завидую! Я все еще не могу найти ничего подходящего!,Зависть
Ты уже так далеко продвинулся! Как тебе удается так быстро все осваивать?! Я все еще на первых шагах!,Зависть
"Как же тебе повезло! Ты всегда получаешь все, что хочешь! Неужели у меня никогда не будет такой удачи?!",Зависть
"Ты такой уверенный в себе! Ты всегда знаешь, чего хочешь! Я бы хотела быть такой же!",Зависть
"Ты так быстро все делаешь. Как тебе удается все успевать? Я просто не знаю, как.",Зависть
"Ты просто не представляешь, как я завидую. Ты всегда выглядишь так хорошо. Как тебе удается?",Зависть
"Как же ему повезло! Он так легко получает все, что хочет. А мне приходится бороться за каждый шаг.",Зависть
Она просто сияет! У нее такая красивая кожа и волосы. Я так хочу выглядеть так же.,Зависть
Неужели он уже купил новую машину?! И так быстро! А я все еще езжу на своем стареньком авто.,Зависть
Неужели у него уже есть машина?,Зависть
Он всегда выглядит так стильно! Я бы тоже хотел так!,Зависть
Как же она быстро продвинулась по карьерной лестнице!,Зависть
Неужели она так быстро сбросила вес?! Как же я завидую!,Зависть
"Как же ему повезло! Он так легко получает все, что хочет!",Зависть
Неужели ты уже получил повышение?,Зависть
"Ты так быстро освоил новый язык! Я уже полгода учусь, а у меня все еще ничего не получается. Может быть, ты поделишься секретами? Как же ты так быстро все осваиваешь?",Зависть
"Как же здорово! Ты уже успел купить новую машину! А у меня все еще старый хлам. И, кажется, ты еще и новую работу нашел? Как тебе это удается?",Зависть
"У тебя такая потрясающая фигура! Как же ты так быстро похудела? Я пытаюсь уже несколько месяцев, но у меня ничего не получается. ",Зависть
"Как же тебе повезло! У тебя такая красивая квартира. Я мечтаю о таком жилье. И, кажется, у тебя такая интересная работа! Я бы очень хотела работать в такой сфере!",Зависть
Как ему так повезло с работой? Всё всегда складывается в его пользу! Почему у меня так не получается?,Зависть
Она снова поехала отдыхать за границу? Как ей удаётся столько путешествовать? Просто везёт на каждом шагу!,Зависть
"Смотри, она уже купила новую машину! Почему у меня всё ещё старая? Как всегда, ей легко достаётся всё самое лучшее!",Зависть
Он успел получить повышение? Как это возможно за такое короткое время? Почему у меня так не получается?,Зависть
У него снова премия? Разве можно так легко получать награды? Я даже представить себе такого не могу!,Зависть
Опять они переехали в новый дом? Как они так быстро решились на это? А я до сих пор коплю на ремонт!,Зависть
"Ты видел, она купила очередное дорогое платье? Как ей удаётся столько зарабатывать? Мне до этого далеко!",Зависть
Её пригласили на очередной крутой проект? Почему ей всегда выпадает удача? Она просто невероятно везучая!,Зависть
"Смотри, у них уже третий отпуск за год! Как они успевают так часто отдыхать? Мне бы хоть раз так повезло!",Зависть
"Ты заметил, он уже получил новый гаджет? Ему постоянно везёт на такие вещи! Когда я смогу себе позволить такое?",Зависть
Ты опять купила что-то новое? У тебя всегда такие классные вещи! Почему мне никогда так не везёт?,Зависть
"Как тебе удаётся столько путешествовать? Ты только вернулась, а уже планируешь новый отпуск! Почему мне не удаётся так часто выбираться?",Зависть
Ты снова получила повышение? У тебя просто золотая работа! Когда мне так повезёт?,Зависть
Ты снова в модной одежде? Как у тебя всегда есть на это деньги? Я даже мечтать об этом не могу!,Зависть
Ты ездишь на такой красивой машине! Как тебе удаётся позволить себе всё это? Мне бы хоть раз так повезло!,Зависть
Тебе удалось купить новый телефон? Ты всё время берёшь лучшие модели! Почему мне всегда приходится экономить?,Зависть
Ты снова была в дорогом ресторане? У тебя все выходные как праздник! Мне бы хоть раз так побаловать себя!,Зависть
Ты опять приобрела что-то для дома? У тебя уже такой стильный интерьер! Я только смотрю и мечтаю об этом.,Зависть
Как тебе удалось попасть на этот крутой концерт? У тебя всегда такие интересные мероприятия! Мне даже билетов не достаётся.,Зависть
Ты снова съездила за границу? У тебя в жизни одна радость за другой! Когда мне так повезёт хоть раз?,Зависть
"Ты опять купила себе что-то новое, да? Как у тебя всегда так получается. Мне бы так повезло хотя бы раз.",Зависть
Ты снова в отпуск собралась? Как тебе удаётся так часто отдыхать. У меня даже мысли об этом нет.,Зависть
"Ты везде успеваешь поучаствовать, правда? У тебя и работа, и отдых такие интересные. Мне бы хоть немного твоей удачи.",Зависть
Ты даже сейчас нашла время для спорта. Как тебе это удаётся с таким графиком. Я постоянно откладываю и не успеваю.,Зависть
У тебя опять отпуск впереди? Ты всегда выбираешь интересные направления. Мне бы хоть раз так спланировать.,Зависть
"У него всегда всё выходит идеально, везучий же.",Зависть
"Ей и премию дали, и отпуск сразу.",Зависть
"Ей подарили новый телефон, повезло же.",Зависть
"У него отпуск дважды в год, неслыханная роскошь.",Зависть
